STATE,STATE_FIPS,YEAR,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,BEGIN_LAT,BEGIN_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,PROP_DAMAGE_USD,ALL_INJ,ALL_DEATH,EVENT_TYPE_F,TOTAL_HARM
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.22,-80.68,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Kershaw County FD reports a tree down on a home in Lugoff. Time estimated based on  radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.27,-80.61,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Kershaw County dispatch reports numerous trees and power lines down throughout the  county. Time estimated by radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.34,-80.6,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Kershaw County FD reported a tree down blocking the road along Flat Rock Rd. Time  estimated based on radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.19,-80.58,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Kershaw County FD reports a tree blocking the roadway along Hwy. 261 at Hwy 521. Time  estimated based on radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,33.95,-80.52,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Sumter County dispatch reports a tree down along 378 and North Kings Highway. Time  estimated by radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.19,-80.16,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",SCDOT reports a tree in the roadway along I-20. Time estimated by radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,33.96,-82.36,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Reported tree down along Kennedy Road just north of the town of McCormick.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,33.7,-82.22,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Reported a power line down along Confederate Drive along Lake Thurmond in the Modoc  community.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.48,-80.63,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Kershaw County EM reported a tree down blocking the roadway along Flat Rock Road.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,33.81,-81.93,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.","Edgefield County dispatch reports a tree down along Hwy. 430, just outside the city of Edgefield limits. Time estimated based on radar.",0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,33.22,-81.19,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Reported trees down near the intersection of Thunder Road and Ehrhardt Road near the town of Govan.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Hail,0,0,0,0,0.00K,34.81,-80.53,"An approaching cold front triggered scattered strong to severe thunderstorms, mainly across the Northern Midlands.",Buford FD reported quarter sized hail near the intersection of Wolf Pond Road and SC-207.,0,0,0,Hail,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.95,-83.02,"A couple of waves of strong to severe thunderstorms moved into upstate South Carolina  from north Georgia and western North Carolina...one during the afternoon and evening of the 8th, and another during the early morning of the 9th. Scattered severe storms produced large hail and isolated swaths of damaging winds over the Upstate and the eastern Piedmont.",NWS employee reported multiple trees blown down on Whitewater Falls Rd.,0,0,0,Thunderstorm Wind,0
